head,relation,tail
C0016299,Taxonomy_PartOf,C3653505
C0016299,Taxonomy_PartOf,C0304608
C0016299,Etiology_AssociatedWith,C0289863
C0016299,Etiology_AssociatedWith,C1706842
C0016299,Etiology_AssociatedWith,C4688482
C2077029,Taxonomy_IsA,C0744425
C2077029,Treatment_IndicationUse,C1272273
C2077029,Treatment_IndicationUse,C0865800
C2077029,Treatment_IndicationUse,C0156147
C2077029,Treatment_IndicationUse,C2919828
C2077029,Treatment_IndicationUse,C0941061
C2077029,Treatment_IndicationUse,C0558984
C2077029,Treatment_IndicationUse,C0740304
C2077029,Etiology_AssociatedWith,C3544310
C2077029,Etiology_AssociatedWith,C0857540
C2077029,Taxonomy_PartOf,C4521954
C2077029,Taxonomy_PartOf,C0740851
C2077029,Taxonomy_PartOf,C3653826
C2077029,Taxonomy_PartOf,C0282556
C2077029,Taxonomy_PartOf,C0474035
C2077029,Taxonomy_PartOf,C3653531
C2077029,Taxonomy_PartOf,C0161598
C2077029,Taxonomy_PartOf,C0591201
C2077029,Taxonomy_PartOf,C1412070
C2077029,Taxonomy_IsA,C0597486
C2077029,PK_DistributionProteinBinding,C0108187
C0070073,Taxonomy_IsA,C0744425
C0070073,Etiology_AssociatedWith,C0443077
C0070073,Treatment_IndicationUse,C0149783
C0070073,Etiology_AssociatedWith,C0020268
C0070073,DrugInteraction,C0570192
C0070073,Etiology_AssociatedWith,C0425683
C0070073,Etiology_AssociatedWith,C0027950
C0070073,Etiology_AssociatedWith,C1267793
C0070073,MoA_ModulationOther,C0022714
C0070073,MoA_InhibitionBlockade,C0302158
C0070073,MoA_ModulationOther,C0243042
C0070073,MoA_InhibitionBlockade,C0003314
C0070073,Etiology_AssociatedWith,C1152581
C0070073,Etiology_AssociatedWith,C0103404
C1135650,Etiology_AssociatedWith,C1332838
C0070073,MoA_InhibitionBlockade,C0879590
C0879590,Alias_Name,C0879590
C0070073,DrugClass_Category,C4521954
C0070073,DrugClass_Category,C3653708
C0070073,Regulatory_Status,C0678323
C0907850,Taxonomy_IsA,C0744425
C0907850,Treatment_IndicationUse,C0024117
C0907850,Treatment_IndicationUse,C0339812
C0907850,MoA_InhibitionBlockade,C0302158
C0907850,MoA_ModulationOther,C0243042
C0907850,MoA_InhibitionBlockade,C0003314
C0907850,Etiology_AssociatedWith,C0425683
C0907850,Etiology_AssociatedWith,C0027950
C0907850,Taxonomy_IsA,C1373003
C0907850,MoA_BindingAffinity,C0600508
C0907850,DrugInteraction,C1135650
C0907850,Taxonomy_MemberOf,C4521954
C0907850,Taxonomy_MemberOf,C0443077
C0907850,Taxonomy_MemberOf,C0282555
C0907850,Taxonomy_MemberOf,C3653498
C0907850,Taxonomy_IsA,C0057223
C0907850,Taxonomy_IsA,C0051169
C5555516,Etiology_AssociatedWith,C2986495
C5555516,Etiology_AssociatedWith,C0205195
C5555516,Taxonomy_PartOf,C0722742
C5555516,Taxonomy_PartOf,C0202319
C5555516,Etiology_AssociatedWith,C4751299
C5555516,Etiology_AssociatedWith,C2960678
C5555516,Etiology_AssociatedWith,C0002893
C0722742,Taxonomy_IsA,C0260264
C0722742,MoA_InhibitionBlockade,C0302158
C0202319,MoA_ModulationOther,C0599702
C5555516,Etiology_AssociatedWith,C0032950
C5555516,Etiology_AssociatedWith,C0418624
C5555516,Etiology_AssociatedWith,C4684592
C5555516,Etiology_AssociatedWith,C0032950
C5555516,Etiology_AssociatedWith,C0032950
C5555516,Etiology_AssociatedWith,C0683934
C0066700,Treatment_IndicationUse,C3251055
C0066700,Treatment_IndicationUse,C0339812
C0066700,Etiology_AssociatedWith,C3537153
C0066700,MoA_BindingAffinity,C1841967
C0066700,MoA_InhibitionBlockade,C0167954
C0066700,MoA_InhibitionBlockade,C0014458
C0066700,PK_DistributionProteinBinding,C0229671
C0066700,PK_DistributionProteinBinding,C1442770
C0066700,Taxonomy_IsA,C0051169
C0066700,Regulatory_Status,C0521923
C0066700,MoA_ModulationOther,C0021368
C0066700,Etiology_AssociatedWith,C0021461
C0066700,Etiology_AssociatedWith,C1273001
C0066700,DrugInteraction,C0059563
C0066700,Treatment_IndicationUse,C0004096
C0066700,Treatment_IndicationUse,C1334103
C0025145,Alias_Name,C0013340
C0025145,Taxonomy_IsA,C0033306
C0025145,Taxonomy_DerivedFrom,C0065865
C0025145,Regulatory_Status,C0006823
C0025145,Etiology_AssociatedWith,C0205544
C0025145,MoA_InhibitionBlockade,C0301819
C0025145,Etiology_AssociatedWith,C5784295
C0025145,Clinical_ManifestationPresentation,C0523912
C0025145,Etiology_AssociatedWith,C1367578
C1367578,Etiology_AssociatedWith,C0033572
C1154522,Etiology_AssociatedWith,C5849707
C0025145,Etiology_AssociatedWith,C0304497
C0025145,Etiology_AssociatedWith,C0033618
C0025145,Etiology_AssociatedWith,C0893455
C0025145,Temporal_DurationResolution,C0202075
C0025145,Clinical_ManifestationPresentation,C0235461
C0025145,Clinical_ManifestationPresentation,C0720298
C0025145,Etiology_AssociatedWith,C5548523
C0025145,Etiology_AssociatedWith,C5670749
C0025145,Taxonomy_MemberOf,C4521954
C0025145,Taxonomy_MemberOf,C0006174
C0025145,Taxonomy_MemberOf,C1508753
C0025145,Taxonomy_MemberOf,C5400708
C0025145,Taxonomy_MemberOf,C3653386
C0025145,Taxonomy_MemberOf,C3653386
C0025145,Taxonomy_MemberOf,C4708554
C0025145,Taxonomy_MemberOf,C0893455
C0025145,Taxonomy_MemberOf,C0546792
C0082607,Treatment_IndicationUse,C3251055
